Date,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BHARTIARTL.NS,BPCL.NS,BRITANNIA.NS,CIPLA.NS,COALINDIA.NS,DIVISLAB.NS,DRREDDY.NS,EICHERMOT.NS,GRASIM.NS,HCLTECH.NS,HDFC.NS,HDFCBANK.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,M&M.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBIN.NS,SUNPHARMA.NS,TATACONSUM.NS,TATAMOTORS.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,ULTRACEMCO.NS,UPL.NS,WIPRO.NS
2014-05-01,67.69007873535156,217.4450225830078,876.6613159179688,475.8043518066406,352.7550354003906,1525.28173828125,84.6836929321289,196.44805908203125,300.62469482421875,107.11083221435547,385.81219482421875,370.2399597167969,186.72352600097656,586.906494140625,2270.98681640625,590.0092163085938,467.290771484375,294.6007080078125,717.5947875976562,372.7799072265625,138.86734008789062,517.00390625,231.83120727539062,510.6085510253906,293.91802978515625,178.63211059570312,99.92234802246094,432.15362548828125,888.9160766601562,573.0590209960938,4398.55615234375,93.28409576416016,167.92987060546875,66.1285400390625,496.6993408203125,238.2174072265625,578.4829711914062,132.45919799804688,408.73248291015625,16.802785873413086,898.7198486328125,390.1485900878906,294.4671325683594,2309.8740234375,182.67214965820312,177.40206909179688
2014-06-01,64.31900787353516,232.92901611328125,961.0244750976562,556.7922973632812,368.6430358886719,1817.3603515625,92.90855407714844,195.05795288085938,294.33441162109375,123.22154998779297,441.5538024902344,421.70098876953125,193.7967529296875,671.5689086914062,2421.791748046875,706.597900390625,504.2198181152344,311.5472412109375,717.5947875976562,386.3227233886719,154.0676727294922,531.5711059570312,231.84754943847656,546.7083740234375,330.0024108886719,169.90304565429688,102.01747131347656,439.56634521484375,978.7567749023438,532.10302734375,4393.85205078125,90.7848892211914,188.6685333251953,75.45157623291016,478.0109558105469,253.16555786132812,651.7110595703125,153.4696502685547,424.735107421875,18.68783950805664,1017.93505859375,436.60931396484375,335.3600769042969,2513.2548828125,206.67129516601562,191.4905242919922
2014-07-01,61.3154296875,249.03431701660156,978.5538940429688,593.8721923828125,380.1297302246094,1628.8134765625,93.8528060913086,213.12452697753906,325.78594970703125,119.06561279296875,502.8564453125,439.51251220703125,185.11251831054688,679.301025390625,2592.209228515625,751.1792602539062,472.5086364746094,322.9590759277344,717.5947875976562,395.49432373046875,179.8707275390625,595.3135375976562,248.2689666748047,538.5540771484375,341.3655700683594,189.48382568359375,97.36119842529297,474.4659729003906,864.4141235351562,557.3583374023438,4570.86181640625,84.30440521240234,175.56809997558594,72.1451416015625,473.79766845703125,229.88705444335938,749.2852783203125,136.3681182861328,439.9499206542969,19.572011947631836,1093.2327880859375,436.3253173828125,323.9613952636719,2347.3505859375,199.0448455810547,190.7896270751953
2014-08-01,69.1253662109375,271.3779296875,1133.08251953125,589.6683349609375,385.5649719238281,1810.7742919921875,104.88317108154297,242.0908660888672,323.0776672363281,142.49288940429688,550.5852661132812,495.0654296875,179.27272033691406,729.9589233398438,2739.28125,862.279052734375,499.34747314453125,338.66986083984375,730.087158203125,400.0230712890625,159.60360717773438,643.738037109375,262.7052001953125,563.5325927734375,364.7962951660156,189.08468627929688,103.47408294677734,516.6452026367188,877.9879150390625,652.9652709960938,5373.20458984375,79.858154296875,193.17601013183594,70.03121185302734,470.1492614746094,231.9086151123047,810.1981811523438,133.70294189453125,519.2677612304688,18.51744270324707,1085.446044921875,483.8599548339844,347.45751953125,2481.737060546875,191.3275909423828,199.92393493652344
2014-09-01,67.9417724609375,266.29296875,1088.189208984375,594.7222900390625,366.5901184082031,1885.251220703125,112.48579406738281,266.5703125,357.216064453125,134.5093231201172,616.6563110351562,606.227783203125,171.8470458984375,839.8667602539062,3001.046630859375,1058.14453125,525.7153930664062,358.88421630859375,730.087158203125,413.82275390625,147.077392578125,646.8159790039062,241.90721130371094,598.2811279296875,379.8947448730469,197.0142364501953,96.18944549560547,504.4703674316406,846.8367919921875,631.4349365234375,5319.81787109375,81.8733139038086,181.42999267578125,73.31051635742188,445.1988525390625,230.4949188232422,812.0927734375,143.64366149902344,496.6199645996094,16.56519889831543,1177.6446533203125,509.8036804199219,390.0531311035156,2561.151123046875,208.3251953125,211.08290100097656
2014-10-01,69.8976058959961,274.06439208984375,1083.0914306640625,622.3269653320312,426.4751892089844,2093.249755859375,106.38179016113281,275.1121520996094,351.662109375,152.4404296875,678.1203002929688,644.6731567382812,186.54733276367188,874.92431640625,2944.084716796875,1128.9188232421875,519.7373657226562,336.6259765625,730.087158203125,432.411865234375,154.5199432373047,640.1831665039062,274.49224853515625,693.1416625976562,410.6593933105469,189.03147888183594,105.06745147705078,556.8294067382812,961.3551025390625,606.0995483398438,5585.74951171875,88.34783172607422,180.0211639404297,79.816650390625,471.0201721191406,254.72532653808594,802.2675170898438,144.3197479248047,529.9488525390625,17.682052612304688,1122.2396240234375,515.5371704101562,376.2370300292969,2480.18017578125,213.53256225585938,199.37574768066406
2014-11-01,66.24575805664062,278.477783203125,1132.2236328125,705.3987426757812,467.045654296875,2117.099853515625,114.57189178466797,302.8683166503906,337.0279235839844,156.9626007080078,730.0159301757812,614.3037719726562,178.7189178466797,806.0220336914062,3351.041259765625,1283.234375,526.796875,349.3179626464844,730.087158203125,453.89373779296875,164.28953552246094,687.2206420898438,296.0495910644531,722.35546875,445.350830078125,193.2623291015625,99.92120361328125,598.7815551757812,952.0054931640625,614.2431030273438,5538.30029296875,83.99222564697266,168.57962036132812,78.11959075927734,466.80682373046875,302.9033203125,796.8582153320312,145.4014434814453,527.6246948242188,17.081226348876953,1139.6641845703125,540.5902099609375,354.5807189941406,2417.699951171875,211.8478546142578,207.1923065185547
2014-12-01,70.19351196289062,306.1097717285156,1096.9278564453125,712.5975341796875,487.6220397949219,1950.06787109375,130.2102813720703,341.2772216796875,310.9331359863281,135.8765106201172,815.1354370117188,605.8410034179688,193.24298095703125,803.8994750976562,3016.471435546875,1332.4031982421875,501.51409912109375,335.5647277832031,730.087158203125,451.26190185546875,148.71484375,664.4910278320312,297.9226989746094,772.4088134765625,402.9848327636719,196.2159423828125,87.1783218383789,629.3555297851562,867.9750366210938,572.806396484375,5699.69921875,84.75740814208984,151.6727752685547,75.54664611816406,419.51885986328125,293.9029541015625,784.379150390625,136.07162475585938,490.0926513671875,14.412676811218262,1103.1199951171875,531.068603515625,364.9068908691406,2604.362060546875,212.3072967529297,196.369384765625
2015-01-01,90.54572296142578,327.21746826171875,1275.44482421875,812.482421875,570.80126953125,1917.398681640625,144.1409149169922,396.7796630859375,329.4462890625,157.50946044921875,836.7972412109375,672.9148559570312,181.66403198242188,812.8096313476562,3004.43798828125,1438.5445556640625,575.44384765625,376.50946044921875,730.087158203125,510.894287109375,131.86582946777344,815.24951171875,304.3351135253906,837.6224975585938,437.5823669433594,196.13612365722656,81.3289794921875,658.3858032226562,987.5454711914062,587.0284423828125,6357.8271484375,84.55139923095703,158.42515563964844,81.02102661132812,430.8642883300781,291.1698303222656,870.9261474609375,143.05772399902344,578.7059326171875,14.08971118927002,1070.2626953125,587.3685913085938,411.70947265625,3056.22412109375,225.66265869140625,214.53140258789062
2015-02-01,102.67766571044922,332.20654296875,1264.37548828125,764.5528564453125,550.467529296875,1724.03173828125,141.61170959472656,402.319091796875,313.1370544433594,156.5419158935547,922.935546875,647.8648681640625,198.9821319580078,792.6800537109375,3046.0673828125,1397.0477294921875,554.8797607421875,424.8930969238281,730.087158203125,499.8214111328125,146.4494171142578,775.5601806640625,282.862060546875,832.1358642578125,462.88446044921875,209.52052307128906,84.00818634033203,666.1288452148438,1021.4595336914062,594.17431640625,6275.4609375,93.26258087158203,146.4310760498047,86.00273132324219,402.7597961425781,282.64068603515625,834.0582885742188,140.66893005371094,568.8160400390625,12.653496742248535,1150.3056640625,580.6626586914062,416.2510986328125,3042.06396484375,257.1825256347656,233.40248107910156
